Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
09 Jan 2024 00:00:00.000	0	156.4	-23.899	-12.567	-8.2233	-6233.5	2762.2	-1519.8	608.28	-36.483	4.5131e+07	-1.2847e+08	-5.569e+07	32.157	154.3	98.025	0.001556	6993.1	315.15	5819.9
09 Jan 2024 00:00:30.000	30	156.13	-24.17	-10.726	-8.1685	-6261.5	2810	-1300	607.75	-36.483	4.5132e+07	-1.2847e+08	-5.569e+07	32.294	154.3	98.025	0.0016071	6993.3	316.87	5820.2
09 Jan 2024 00:01:00.000	60	155.86	-24.437	-8.8845	-8.1229	-6282.8	2854.9	-1078.8	607.27	-36.483	4.5133e+07	-1.2847e+08	-5.569e+07	32.639	154.3	98.025	0.0016553	6993.5	318.39	5820.5
09 Jan 2024 00:01:30.000	90	155.6	-24.702	-7.0428	-8.0861	-6297.6	2896.8	-856.4	606.83	-36.483	4.5134e+07	-1.2847e+08	-5.569e+07	33.166	154.3	98.025	0.0017001	6993.7	319.72	5820.7
09 Jan 2024 00:02:00.000	120	155.34	-24.965	-5.2009	-8.0581	-6305.7	2935.7	-633.12	606.43	-36.482	4.5134e+07	-1.2847e+08	-5.569e+07	33.853	154.3	98.025	0.0017411	6993.8	320.89	5820.8
09 Jan 2024 00:02:30.000	150	155.08	-25.226	-3.3587	-8.0385	-6307.2	2971.4	-409.18	606.08	-36.482	4.5135e+07	-1.2847e+08	-5.569e+07	34.68	154.3	98.025	0.001778	6993.9	321.93	5820.9
09 Jan 2024 00:03:00.000	180	154.82	-25.486	-1.5163	-8.0275	-6302.1	3004.1	-184.81	605.77	-36.482	4.5136e+07	-1.2847e+08	-5.569e+07	35.631	154.3	98.025	0.0018103	6994	322.84	5821
09 Jan 2024 00:03:30.000	210	154.56	-25.746	0.32622	-8.0248	-6290.3	3033.5	39.762	605.5	-36.482	4.5137e+07	-1.2847e+08	-5.5689e+07	36.69	154.3	98.025	0.0018379	6994	323.64	5821
09 Jan 2024 00:04:00.000	240	154.3	-26.006	2.1689	-8.0305	-6271.8	3059.8	264.29	605.28	-36.481	4.5138e+07	-1.2847e+08	-5.5689e+07	37.847	154.3	98.025	0.0018605	6994	324.34	5821
09 Jan 2024 00:04:30.000	270	154.05	-26.266	4.0117	-8.0446	-6246.8	3082.8	488.54	605.11	-36.481	4.5139e+07	-1.2847e+08	-5.5689e+07	39.089	154.3	98.025	0.0018781	6993.9	324.96	5820.9
09 Jan 2024 00:05:00.000	300	153.79	-26.528	5.8545	-8.0672	-6215.1	3102.6	712.27	604.98	-36.481	4.514e+07	-1.2847e+08	-5.5689e+07	40.407	154.3	98.025	0.0018903	6993.8	325.51	5820.8
09 Jan 2024 00:05:30.000	330	153.52	-26.792	7.6972	-8.0984	-6176.9	3119.1	935.25	604.9	-36.48	4.514e+07	-1.2847e+08	-5.5689e+07	41.793	154.3	98.025	0.0018973	6993.7	325.98	5820.6
09 Jan 2024 00:06:00.000	360	153.26	-27.058	9.54	-8.1384	-6132.2	3132.3	1157.2	604.86	-36.48	4.5141e+07	-1.2847e+08	-5.5689e+07	43.24	154.3	98.025	0.0018988	6993.5	326.4	5820.4
09 Jan 2024 00:06:30.000	390	152.99	-27.326	11.383	-8.1874	-6081	3142.2	1378	604.87	-36.48	4.5142e+07	-1.2847e+08	-5.5689e+07	44.741	154.3	98.025	0.0018949	6993.3	326.76	5820.1
09 Jan 2024 00:07:00.000	420	152.72	-27.599	13.225	-8.2456	-6023.4	3148.8	1597.3	604.92	-36.479	4.5143e+07	-1.2847e+08	-5.5689e+07	46.29	154.3	98.025	0.0018855	6993	327.07	5819.8
09 Jan 2024 00:07:30.000	450	152.45	-27.875	15.067	-8.3133	-5959.5	3152.1	1814.9	605.01	-36.479	4.5144e+07	-1.2846e+08	-5.5689e+07	47.883	154.3	98.026	0.0018707	6992.7	327.34	5819.5
09 Jan 2024 00:08:00.000	480	152.17	-28.156	16.909	-8.3911	-5889.2	3152	2030.6	605.15	-36.479	4.5145e+07	-1.2846e+08	-5.5688e+07	49.513	154.3	98.026	0.0018505	6992.4	327.57	5819.1
09 Jan 2024 00:08:30.000	510	151.89	-28.443	18.751	-8.4792	-5812.7	3148.6	2244.2	605.33	-36.478	4.5146e+07	-1.2846e+08	-5.5688e+07	51.177	154.3	98.026	0.001825	6992.1	327.77	5818.6
09 Jan 2024 00:09:00.000	540	151.6	-28.737	20.592	-8.5782	-5730.2	3141.9	2455.3	605.55	-36.478	4.5147e+07	-1.2846e+08	-5.5688e+07	52.87	154.3	98.026	0.0017942	6991.7	327.94	5818.1
09 Jan 2024 00:09:30.000	570	151.3	-29.037	22.433	-8.6886	-5641.5	3131.9	2663.9	605.8	-36.478	4.5147e+07	-1.2846e+08	-5.5688e+07	54.589	154.3	98.027	0.0017583	6991.3	328.08	5817.6
09 Jan 2024 00:10:00.000	600	150.99	-29.345	24.274	-8.8112	-5546.9	3118.6	2869.7	606.09	-36.477	4.5148e+07	-1.2846e+08	-5.5688e+07	56.329	154.3	98.027	0.0017173	6990.8	328.2	5817.1
09 Jan 2024 00:10:30.000	630	150.68	-29.663	26.113	-8.9468	-5446.5	3102	3072.4	606.42	-36.477	4.5149e+07	-1.2846e+08	-5.5688e+07	58.085	154.3	98.027	0.0016715	6990.4	328.31	5816.5
09 Jan 2024 00:11:00.000	660	150.35	-29.991	27.952	-9.0961	-5340.3	3082.1	3271.9	606.78	-36.477	4.515e+07	-1.2846e+08	-5.5688e+07	59.855	154.3	98.027	0.001621	6989.9	328.4	5815.9
09 Jan 2024 00:11:30.000	690	150.02	-30.33	29.791	-9.2603	-5228.5	3059	3467.9	607.17	-36.476	4.5151e+07	-1.2846e+08	-5.5688e+07	61.632	154.3	98.028	0.001566	6989.4	328.48	5815.3
09 Jan 2024 00:12:00.000	720	149.67	-30.682	31.628	-9.4404	-5111.2	3032.6	3660.3	607.59	-36.476	4.5152e+07	-1.2846e+08	-5.5688e+07	63.412	154.3	98.028	0.0015066	6988.9	328.57	5814.6
09 Jan 2024 00:12:30.000	750	149.31	-31.048	33.465	-9.6378	-4988.5	3003.1	3848.7	608.04	-36.476	4.5153e+07	-1.2846e+08	-5.5687e+07	65.19	154.3	98.029	0.0014431	6988.3	328.65	5813.9
09 Jan 2024 00:13:00.000	780	148.93	-31.43	35.3	-9.8539	-4860.5	2970.3	4033.2	608.51	-36.475	4.5153e+07	-1.2846e+08	-5.5687e+07	66.958	154.3	98.029	0.0013756	6987.7	328.74	5813.2
09 Jan 2024 00:13:30.000	810	148.53	-31.83	37.134	-10.091	-4727.4	2934.5	4213.3	609.01	-36.475	4.5154e+07	-1.2846e+08	-5.5687e+07	68.708	154.3	98.029	0.0013046	6987.2	328.86	5812.5
09 Jan 2024 00:14:00.000	840	148.12	-32.249	38.967	-10.35	-4589.3	2895.6	4389	609.52	-36.475	4.5155e+07	-1.2846e+08	-5.5687e+07	70.431	154.3	98.03	0.00123	6986.6	329	5811.8
09 Jan 2024 00:14:30.000	870	147.68	-32.691	40.798	-10.634	-4446.4	2853.6	4560.1	610.06	-36.475	4.5156e+07	-1.2846e+08	-5.5687e+07	72.112	154.3	98.03	0.0011524	6986	329.18	5811
09 Jan 2024 00:15:00.000	900	147.22	-33.158	42.627	-10.945	-4298.8	2808.6	4726.3	610.61	-36.474	4.5157e+07	-1.2846e+08	-5.5687e+07	73.735	154.3	98.03	0.0010718	6985.4	329.42	5810.3
09 Jan 2024 00:15:30.000	930	146.73	-33.653	44.454	-11.287	-4146.7	2760.6	4887.6	611.17	-36.474	4.5158e+07	-1.2846e+08	-5.5687e+07	75.278	154.3	98.031	0.0009886	6984.8	329.74	5809.5
09 Jan 2024 00:16:00.000	960	146.21	-34.181	46.279	-11.662	-3990.2	2709.7	5043.6	611.74	-36.474	4.5159e+07	-1.2846e+08	-5.5687e+07	76.707	154.3	98.031	0.00090311	6984.2	330.17	5808.8
09 Jan 2024 00:16:30.000	990	145.65	-34.744	48.102	-12.076	-3829.5	2656	5194.4	612.32	-36.474	4.516e+07	-1.2846e+08	-5.5687e+07	77.977	154.3	98.031	0.00081563	6983.6	330.76	5808
09 Jan 2024 00:17:00.000	1020	145.05	-35.349	49.921	-12.534	-3664.8	2599.5	5339.7	612.91	-36.474	4.516e+07	-1.2846e+08	-5.5686e+07	79.019	154.3	98.032	0.00072653	6983	331.58	5807.3
09 Jan 2024 00:17:30.000	1050	144.41	-36.002	51.737	-13.04	-3496.2	2540.3	5479.3	613.5	-36.473	4.5161e+07	-1.2846e+08	-5.5686e+07	79.723	154.31	98.032	0.0006362	6982.4	332.74	5806.6
09 Jan 2024 00:18:00.000	1080	143.71	-36.709	53.549	-13.603	-3323.9	2478.3	5613.2	614.1	-36.473	4.5162e+07	-1.2846e+08	-5.5686e+07	79.906	154.31	98.032	0.00054514	6981.8	334.42	5805.9
09 Jan 2024 00:18:30.000	1110	142.95	-37.479	55.356	-14.23	-3148.1	2413.8	5741.1	614.69	-36.473	4.5163e+07	-1.2846e+08	-5.5686e+07	79.244	154.31	98.033	0.00045401	6981.3	336.94	5805.2
09 Jan 2024 00:19:00.000	1140	142.11	-38.323	57.158	-14.933	-2969	2346.7	5863	615.28	-36.473	4.5164e+07	-1.2846e+08	-5.5686e+07	77.099	154.31	98.033	0.0003639	6980.7	340.95	5804.5
09 Jan 2024 00:19:30.000	1170	141.2	-39.253	58.954	-15.723	-2786.8	2277.2	5978.7	615.86	-36.473	4.5165e+07	-1.2846e+08	-5.5686e+07	72.078	154.31	98.033	0.00027688	6980.2	347.83	5803.8
09 Jan 2024 00:20:00.000	1200	140.18	-40.285	60.742	-16.616	-2601.7	2205.2	6088.1	616.43	-36.473	4.5166e+07	-1.2846e+08	-5.5686e+07	60.811	154.31	98.034	0.00019813	6979.7	0.96203	5803.2
09 Jan 2024 00:20:30.000	1230	139.04	-41.439	62.522	-17.632	-2413.8	2131	6191.1	617	-36.473	4.5166e+07	-1.2846e+08	-5.5686e+07	36.034	154.31	98.034	0.00014281	6979.2	27.601	5802.6
09 Jan 2024 00:21:00.000	1260	137.76	-42.739	64.29	-18.795	-2223.4	2054.5	6287.5	617.55	-36.473	4.5167e+07	-1.2846e+08	-5.5686e+07	358.9	154.31	98.034	0.0001417	6978.7	66.593	5802
09 Jan 2024 00:21:30.000	1290	136.3	-44.216	66.045	-20.136	-2030.7	1975.8	6377.3	618.08	-36.473	4.5168e+07	-1.2846e+08	-5.5685e+07	333.7	154.31	98.035	0.00019523	6978.3	93.654	5801.4
09 Jan 2024 00:22:00.000	1320	134.63	-45.911	67.784	-21.696	-1835.8	1895.1	6460.4	618.6	-36.473	4.5169e+07	-1.2846e+08	-5.5685e+07	322.26	154.31	98.035	0.00027225	6977.9	106.96	5800.9
09 Jan 2024 00:22:30.000	1350	132.7	-47.876	69.503	-23.528	-1639	1812.4	6536.7	619.11	-36.473	4.517e+07	-1.2846e+08	-5.5685e+07	317.24	154.31	98.035	0.00035712	6977.5	113.85	5800.4
09 Jan 2024 00:23:00.000	1380	130.43	-50.181	71.196	-25.7	-1440.5	1727.8	6606.1	619.59	-36.474	4.5171e+07	-1.2846e+08	-5.5685e+07	315.17	154.31	98.035	0.00044457	6977.1	117.77	5800
09 Jan 2024 00:23:30.000	1410	127.73	-52.92	72.854	-28.306	-1240.4	1641.3	6668.5	620.05	-36.474	4.5172e+07	-1.2846e+08	-5.5685e+07	314.65	154.31	98.035	0.00053252	6976.8	120.15	5799.6
09 Jan 2024 00:24:00.000	1440	124.49	-56.217	74.469	-31.471	-1039.1	1553.1	6723.9	620.49	-36.474	4.5172e+07	-1.2846e+08	-5.5685e+07	315.03	154.31	98.036	0.00061995	6976.5	121.64	5799.2
09 Jan 2024 00:24:30.000	1470	120.53	-60.242	76.023	-35.364	-836.64	1463.3	6772.3	620.9	-36.474	4.5173e+07	-1.2846e+08	-5.5685e+07	315.96	154.31	98.036	0.00070626	6976.3	122.57	5798.9
09 Jan 2024 00:25:00.000	1500	115.63	-65.222	77.495	-40.213	-633.32	1372	6813.5	621.29	-36.474	4.5174e+07	-1.2846e+08	-5.5685e+07	317.27	154.31	98.036	0.00079105	6976	123.12	5798.6
09 Jan 2024 00:25:30.000	1530	109.5	-71.447	78.852	-46.307	-429.34	1279.2	6847.5	621.66	-36.474	4.5175e+07	-1.2846e+08	-5.5685e+07	318.84	154.31	98.036	0.000874	6975.9	123.4	5798.4
09 Jan 2024 00:26:00.000	1560	101.8	-79.255	80.047	-53.984	-224.91	1185.1	6874.4	621.99	-36.475	4.5176e+07	-1.2846e+08	-5.5684e+07	320.61	154.32	98.036	0.00095489	6975.7	123.49	5798.2
09 Jan 2024 00:26:30.000	1590	92.213	-88.936	81.016	-63.536	-20.237	1089.8	6893.9	622.3	-36.475	4.5177e+07	-1.2846e+08	-5.5684e+07	322.53	154.32	98.036	0.0010335	6975.6	123.44	5798.1
09 Jan 2024 00:27:00.000	1620	80.683	-100.52	81.678	-74.99	184.45	993.26	6906.3	622.58	-36.475	4.5178e+07	-1.2846e+08	-5.5684e+07	324.57	154.32	98.036	0.0011097	6975.5	123.26	5798
09 Jan 2024 00:27:30.000	1650	67.701	-113.47	81.958	-87.811	388.95	895.71	6911.3	622.83	-36.475	4.5179e+07	-1.2845e+08	-5.5684e+07	326.7	154.32	98.036	0.0011832	6975.5	122.99	5797.9
09 Jan 2024 00:28:00.000	1680	54.406	-126.64	81.816	-100.85	593.04	797.22	6909.1	623.05	-36.476	4.5179e+07	-1.2845e+08	-5.5684e+07	328.91	154.32	98.036	0.0012541	6975.5	122.64	5798
09 Jan 2024 00:28:30.000	1710	42.102	-138.78	81.274	-112.85	796.5	697.9	6899.7	623.24	-36.476	4.518e+07	-1.2845e+08	-5.5684e+07	331.18	154.32	98.036	0.0013221	6975.6	122.23	5798
09 Jan 2024 00:29:00.000	1740	31.602	-149.11	80.399	-123.05	999.13	597.84	6882.9	623.4	-36.476	4.5181e+07	-1.2845e+08	-5.5684e+07	333.51	154.32	98.036	0.0013872	6975.6	121.76	5798.1
09 Jan 2024 00:29:30.000	1770	23.063	-157.51	79.271	-131.33	1200.7	497.16	6859	623.53	-36.477	4.5182e+07	-1.2845e+08	-5.5684e+07	335.88	154.32	98.036	0.0014492	6975.8	121.25	5798.3
09 Jan 2024 00:30:00.000	1800	16.253	-164.22	77.963	-137.91	1401	395.96	6827.8	623.63	-36.477	4.5183e+07	-1.2845e+08	-5.5684e+07	338.29	154.32	98.036	0.0015082	6975.9	120.7	5798.5
09 Jan 2024 00:30:30.000	1830	10.826	-169.58	76.526	-143.13	1599.9	294.34	6789.4	623.71	-36.477	4.5184e+07	-1.2845e+08	-5.5683e+07	340.74	154.32	98.036	0.001564	6976.1	120.11	5798.7
09 Jan 2024 00:31:00.000	1860	6.4658	-173.89	74.998	-147.31	1797.1	192.41	6743.9	623.75	-36.478	4.5185e+07	-1.2845e+08	-5.5683e+07	343.22	154.32	98.036	0.0016166	6976.4	119.49	5799
09 Jan 2024 00:31:30.000	1890	2.9167	-177.41	73.403	-150.7	1992.4	90.279	6691.3	623.77	-36.478	4.5185e+07	-1.2845e+08	-5.5683e+07	345.73	154.32	98.036	0.001666	6976.6	118.84	5799.4
09 Jan 2024 00:32:00.000	1920	359.99	179.69	71.76	-153.47	2185.6	-11.946	6631.7	623.76	-36.478	4.5186e+07	-1.2845e+08	-5.5683e+07	348.25	154.32	98.035	0.0017121	6976.9	118.18	5799.7
09 Jan 2024 00:32:30.000	1950	357.53	177.25	70.079	-155.78	2376.5	-114.16	6565.1	623.72	-36.479	4.5187e+07	-1.2845e+08	-5.5683e+07	350.8	154.32	98.035	0.0017549	6977.3	117.49	5800.2
09 Jan 2024 00:33:00.000	1980	355.46	175.18	68.371	-157.71	2564.9	-216.25	6491.6	623.66	-36.479	4.5188e+07	-1.2845e+08	-5.5683e+07	353.37	154.32	98.035	0.0017944	6977.7	116.78	5800.6
09 Jan 2024 00:33:30.000	2010	353.67	173.4	66.641	-159.36	2750.6	-318.12	6411.3	623.58	-36.479	4.5189e+07	-1.2845e+08	-5.5683e+07	355.94	154.33	98.035	0.0018306	6978	116.06	5801.1
09 Jan 2024 00:34:00.000	2040	352.12	171.86	64.894	-160.77	2933.4	-419.65	6324.2	623.47	-36.48	4.519e+07	-1.2845e+08	-5.5683e+07	358.53	154.33	98.035	0.0018635	6978.5	115.33	5801.7
09 Jan 2024 00:34:30.000	2070	350.76	170.5	63.132	-161.99	3113.2	-520.74	6230.5	623.34	-36.48	4.5191e+07	-1.2845e+08	-5.5683e+07	1.1329	154.33	98.034	0.0018931	6978.9	114.59	5802.2
09 Jan 2024 00:35:00.000	2100	349.56	169.31	61.36	-163.05	3289.7	-621.29	6130.2	623.19	-36.48	4.5192e+07	-1.2845e+08	-5.5682e+07	3.7376	154.33	98.034	0.0019194	6979.4	113.84	5802.8
09 Jan 2024 00:35:30.000	2130	348.49	168.24	59.578	-163.98	3462.8	-721.18	6023.5	623.03	-36.481	4.5192e+07	-1.2845e+08	-5.5682e+07	6.3458	154.33	98.034	0.0019425	6979.9	113.09	5803.4
09 Jan 2024 00:36:00.000	2160	347.53	167.27	57.788	-164.8	3632.2	-820.32	5910.4	622.84	-36.481	4.5193e+07	-1.2845e+08	-5.5682e+07	8.9549	154.33	98.033	0.0019623	6980.4	112.34	5804.1
09 Jan 2024 00:36:30.000	2190	346.66	166.4	55.992	-165.53	3797.8	-918.6	5791.2	622.65	-36.481	4.5194e+07	-1.2845e+08	-5.5682e+07	11.562	154.33	98.033	0.0019788	6981	111.59	5804.8
09 Jan 2024 00:37:00.000	2220	345.87	165.61	54.191	-166.18	3959.4	-1015.9	5665.8	622.44	-36.482	4.5195e+07	-1.2845e+08	-5.5682e+07	14.165	154.33	98.033	0.0019922	6981.5	110.85	5805.4
09 Jan 2024 00:37:30.000	2250	345.14	164.88	52.385	-166.77	4116.9	-1112.2	5534.5	622.22	-36.482	4.5196e+07	-1.2845e+08	-5.5682e+07	16.76	154.33	98.032	0.0020024	6982.1	110.11	5806.2
09 Jan 2024 00:38:00.000	2280	344.47	164.21	50.575	-167.29	4270.1	-1207.2	5397.4	621.99	-36.482	4.5197e+07	-1.2845e+08	-5.5682e+07	19.344	154.33	98.032	0.0020095	6982.7	109.39	5806.9
09 Jan 2024 00:38:30.000	2310	343.86	163.59	48.761	-167.76	4418.7	-1301.1	5254.5	621.75	-36.482	4.5198e+07	-1.2845e+08	-5.5682e+07	21.915	154.33	98.032	0.0020135	6983.3	108.67	5807.6
09 Jan 2024 00:39:00.000	2340	343.28	163.02	46.945	-168.19	4562.8	-1393.5	5106.2	621.51	-36.483	4.5198e+07	-1.2845e+08	-5.5682e+07	24.469	154.33	98.031	0.0020144	6983.8	107.98	5808.4
09 Jan 2024 00:39:30.000	2370	342.74	162.48	45.126	-168.58	4702.1	-1484.5	4952.5	621.27	-36.483	4.5199e+07	-1.2845e+08	-5.5681e+07	27.002	154.33	98.031	0.0020123	6984.4	107.3	5809.1
09 Jan 2024 00:40:00.000	2400	342.24	161.97	43.304	-168.93	4836.4	-1573.9	4793.6	621.02	-36.483	4.52e+07	-1.2845e+08	-5.5681e+07	29.511	154.33	98.031	0.0020071	6985	106.65	5809.8
09 Jan 2024 00:40:30.000	2430	341.77	161.5	41.481	-169.25	4965.7	-1661.7	4629.6	620.78	-36.483	4.5201e+07	-1.2845e+08	-5.5681e+07	31.991	154.33	98.03	0.001999	6985.6	106.02	5810.6
09 Jan 2024 00:41:00.000	2460	341.32	161.05	39.656	-169.55	5089.7	-1747.8	4460.8	620.54	-36.483	4.5202e+07	-1.2845e+08	-5.5681e+07	34.439	154.33	98.03	0.001988	6986.2	105.43	5811.3
09 Jan 2024 00:41:30.000	2490	340.89	160.62	37.83	-169.81	5208.4	-1832	4287.3	620.31	-36.483	4.5203e+07	-1.2845e+08	-5.5681e+07	36.849	154.33	98.03	0.0019741	6986.8	104.88	5812.1
09 Jan 2024 00:42:00.000	2520	340.49	160.22	36.002	-170.06	5321.7	-1914.3	4109.3	620.08	-36.484	4.5204e+07	-1.2845e+08	-5.5681e+07	39.217	154.33	98.029	0.0019574	6987.4	104.37	5812.8
09 Jan 2024 00:42:30.000	2550	340.1	159.83	34.173	-170.28	5429.3	-1994.5	3926.9	619.87	-36.484	4.5205e+07	-1.2845e+08	-5.5681e+07	41.537	154.33	98.029	0.0019379	6988	103.9	5813.5
09 Jan 2024 00:43:00.000	2580	339.73	159.46	32.344	-170.48	5531.3	-2072.7	3740.5	619.66	-36.484	4.5205e+07	-1.2845e+08	-5.5681e+07	43.803	154.33	98.029	0.0019156	6988.5	103.49	5814.2
09 Jan 2024 00:43:30.000	2610	339.38	159.1	30.513	-170.67	5627.5	-2148.7	3550.1	619.47	-36.484	4.5206e+07	-1.2845e+08	-5.5681e+07	46.01	154.33	98.028	0.0018907	6989.1	103.14	5814.9
09 Jan 2024 00:44:00.000	2640	339.04	158.76	28.681	-170.84	5717.7	-2222.5	3355.9	619.3	-36.484	4.5207e+07	-1.2845e+08	-5.568e+07	48.15	154.33	98.028	0.0018632	6989.6	102.86	5815.5
09 Jan 2024 00:44:30.000	2670	338.71	158.43	26.849	-170.99	5802	-2293.9	3158.3	619.14	-36.484	4.5208e+07	-1.2845e+08	-5.568e+07	50.215	154.33	98.028	0.0018331	6990.1	102.65	5816.1
09 Jan 2024 00:45:00.000	2700	338.39	158.11	25.016	-171.13	5880.2	-2362.9	2957.3	619	-36.484	4.5209e+07	-1.2845e+08	-5.568e+07	52.196	154.33	98.028	0.0018007	6990.6	102.52	5816.7
09 Jan 2024 00:45:30.000	2730	338.08	157.8	23.183	-171.26	5952.2	-2429.5	2753.2	618.88	-36.484	4.521e+07	-1.2845e+08	-5.568e+07	54.085	154.33	98.027	0.0017659	6991	102.49	5817.3
09 Jan 2024 00:46:00.000	2760	337.78	157.49	21.349	-171.38	6018	-2493.5	2546.2	618.78	-36.484	4.5211e+07	-1.2845e+08	-5.568e+07	55.871	154.33	98.027	0.0017289	6991.4	102.56	5817.8
09 Jan 2024 00:46:30.000	2790	337.49	157.2	19.515	-171.48	6077.5	-2554.9	2336.5	618.71	-36.484	4.5211e+07	-1.2845e+08	-5.568e+07	57.541	154.33	98.027	0.0016898	6991.8	102.74	5818.3
09 Jan 2024 00:47:00.000	2820	337.2	156.91	17.68	-171.57	6130.5	-2613.6	2124.4	618.66	-36.483	4.5212e+07	-1.2844e+08	-5.568e+07	59.082	154.33	98.027	0.0016489	6992.2	103.06	5818.8
09 Jan 2024 00:47:30.000	2850	336.92	156.63	15.845	-171.65	6177.2	-2669.5	1910	618.64	-36.483	4.5213e+07	-1.2844e+08	-5.568e+07	60.481	154.33	98.027	0.0016064	6992.5	103.51	5819.2
09 Jan 2024 00:48:00.000	2880	336.64	156.35	14.01	-171.73	6217.4	-2722.7	1693.6	618.64	-36.483	4.5214e+07	-1.2844e+08	-5.568e+07	61.72	154.33	98.026	0.0015623	6992.8	104.13	5819.6
09 Jan 2024 00:48:30.000	2910	336.37	156.08	12.175	-171.79	6251	-2773	1475.4	618.67	-36.483	4.5215e+07	-1.2844e+08	-5.5679e+07	62.78	154.33	98.026	0.0015172	6993.1	104.92	5819.9
09 Jan 2024 00:49:00.000	2940	336.11	155.81	10.34	-171.84	6278.1	-2820.4	1255.7	618.73	-36.483	4.5216e+07	-1.2844e+08	-5.5679e+07	63.642	154.33	98.026	0.0014712	6993.4	105.91	5820.2
09 Jan 2024 00:49:30.000	2970	335.84	155.54	8.5046	-171.88	6298.6	-2864.8	1034.7	618.82	-36.483	4.5217e+07	-1.2844e+08	-5.5679e+07	64.284	154.33	98.026	0.0014248	6993.6	107.13	5820.5
09 Jan 2024 00:50:00.000	3000	335.58	155.28	6.6692	-171.92	6312.6	-2906.2	812.59	618.94	-36.482	4.5217e+07	-1.2844e+08	-5.5679e+07	64.68	154.33	98.026	0.0013785	6993.7	108.58	5820.7
09 Jan 2024 00:50:30.000	3030	335.32	155.02	4.8338	-171.95	6319.9	-2944.6	589.61	619.09	-36.482	4.5218e+07	-1.2844e+08	-5.5679e+07	64.807	154.33	98.026	0.0013327	6993.8	110.31	5820.8
09 Jan 2024 00:51:00.000	3060	335.06	154.76	2.9984	-171.96	6320.5	-2979.9	366.02	619.27	-36.482	4.5219e+07	-1.2844e+08	-5.5679e+07	64.637	154.33	98.026	0.0012882	6993.9	112.33	5820.9
09 Jan 2024 00:51:30.000	3090	334.81	154.5	1.1631	-171.97	6314.6	-3012.1	142.04	619.48	-36.482	4.522e+07	-1.2844e+08	-5.5679e+07	64.148	154.33	98.026	0.0012456	6994	114.68	5821
09 Jan 2024 00:52:00.000	3120	334.55	154.24	-0.6721	-171.97	6302	-3041.1	-82.086	619.72	-36.481	4.5221e+07	-1.2844e+08	-5.5679e+07	63.317	154.33	98.026	0.0012057	6994	117.36	5821
09 Jan 2024 00:52:30.000	3150	334.29	153.98	-2.5072	-171.97	6282.8	-3066.9	-306.13	619.99	-36.481	4.5222e+07	-1.2844e+08	-5.5679e+07	62.132	154.33	98.026	0.0011696	6994	120.4	5821
09 Jan 2024 00:53:00.000	3180	334.03	153.72	-4.3421	-171.95	6257	-3089.6	-529.85	620.29	-36.481	4.5223e+07	-1.2844e+08	-5.5679e+07	60.588	154.33	98.026	0.0011381	6993.9	123.8	5820.9
09 Jan 2024 00:53:30.000	3210	333.77	153.46	-6.1767	-171.93	6224.7	-3108.9	-753.01	620.62	-36.48	4.5224e+07	-1.2844e+08	-5.5678e+07	58.698	154.33	98.026	0.0011122	6993.8	127.54	5820.8
09 Jan 2024 00:54:00.000	3240	333.51	153.2	-8.0112	-171.89	6185.8	-3125	-975.38	620.98	-36.48	4.5224e+07	-1.2844e+08	-5.5678e+07	56.492	154.33	98.026	0.0010931	6993.6	131.6	5820.6
09 Jan 2024 00:54:30.000	3270	333.25	152.93	-9.8453	-171.85	6140.5	-3137.9	-1196.7	621.37	-36.48	4.5225e+07	-1.2844e+08	-5.5678e+07	54.025	154.33	98.026	0.0010817	6993.5	135.92	5820.4
09 Jan 2024 00:55:00.000	3300	332.98	152.66	-11.679	-171.8	6088.8	-3147.5	-1416.8	621.78	-36.479	4.5226e+07	-1.2844e+08	-5.5678e+07	51.371	154.33	98.026	0.0010788	6993.2	140.43	5820.1
09 Jan 2024 00:55:30.000	3330	332.72	152.39	-13.513	-171.74	6030.6	-3153.7	-1635.4	622.22	-36.479	4.5227e+07	-1.2844e+08	-5.5678e+07	48.621	154.33	98.026	0.0010849	6993	145.03	5819.8
09 Jan 2024 00:56:00.000	3360	332.44	152.12	-15.346	-171.67	5966.2	-3156.7	-1852.3	622.68	-36.479	4.5228e+07	-1.2844e+08	-5.5678e+07	45.875	154.33	98.027	0.0011003	6992.7	149.63	5819.4
09 Jan 2024 00:56:30.000	3390	332.16	151.84	-17.178	-171.6	5895.5	-3156.3	-2067.2	623.17	-36.478	4.5229e+07	-1.2844e+08	-5.5678e+07	43.23	154.33	98.027	0.0011251	6992.4	154.12	5819
